Models,MSE,RMSE,MAE,MBE,r,R2,RRMSE,NSE,WI
SMOA + EALSTM,9.15E-07 ± 8.7E-08,9.56E-04 ± 7.8E-05,9.28E-05 ± 6.5E-06,0.00010 ± 0.00002,0.9791 ± 0.0021,0.9846 ± 0.0018,0.5109 ± 0.021,0.9771 ± 0.0022,0.9789 ± 0.0019
SFS + EALSTM,1.14E-05 ± 9.6E-07,0.0034 ± 0.00018,0.0019 ± 0.00009,0.0007 ± 0.00005,0.9520 ± 0.0035,0.9618 ± 0.0030,0.7161 ± 0.032,0.9657 ± 0.0032,0.9671 ± 0.0028
SBO + EALSTM,2.78E-05 ± 2.3E-06,0.0053 ± 0.00029,0.0019 ± 0.00010,0.0008 ± 0.00006,0.9504 ± 0.0038,0.9559 ± 0.0033,0.8128 ± 0.036,0.9620 ± 0.0035,0.9597 ± 0.0032
PSO + EALSTM,3.27E-05 ± 2.7E-06,0.0057 ± 0.00031,0.0019 ± 0.00011,0.0009 ± 0.00006,0.9488 ± 0.0040,0.9543 ± 0.0035,0.9059 ± 0.041,0.9600 ± 0.0037,0.9571 ± 0.0033
HHO + EALSTM,4.97E-05 ± 4.0E-06,0.0070 ± 0.00038,0.0020 ± 0.00012,0.0011 ± 0.00007,0.9366 ± 0.0046,0.9535 ± 0.0038,0.9796 ± 0.045,0.9545 ± 0.0040,0.9551 ± 0.0036
GWO + EALSTM,5.27E-05 ± 4.3E-06,0.0073 ± 0.00040,0.0020 ± 0.00012,0.0012 ± 0.00008,0.9357 ± 0.0047,0.9513 ± 0.0039,1.0364 ± 0.047,0.9512 ± 0.0041,0.9519 ± 0.0037
DE + EALSTM,5.38E-05 ± 4.5E-06,0.0073 ± 0.00041,0.0020 ± 0.00013,0.0013 ± 0.00008,0.9349 ± 0.0049,0.9471 ± 0.0042,1.0923 ± 0.050,0.9409 ± 0.0045,0.9535 ± 0.0039
TSH + EALSTM,7.46E-05 ± 6.0E-06,0.0086 ± 0.00047,0.0020 ± 0.00013,0.0015 ± 0.00009,0.9326 ± 0.0052,0.9430 ± 0.0045,1.2473 ± 0.055,0.9383 ± 0.0048,0.9483 ± 0.0041
JAYA + EALSTM,8.56E-05 ± 6.9E-06,0.0093 ± 0.00051,0.0020 ± 0.00014,0.0017 ± 0.00010,0.9313 ± 0.0053,0.9419 ± 0.0046,1.3148 ± 0.058,0.9357 ± 0.0050,0.9468 ± 0.0043
APO + EALSTM,1.17E-04 ± 9.2E-06,0.0108 ± 0.00059,0.0021 ± 0.00015,0.0018 ± 0.00011,0.9277 ± 0.0056,0.9407 ± 0.0048,1.3454 ± 0.061,0.9336 ± 0.0052,0.9459 ± 0.0045
